Temperature [K],Density [g/ml],Specific Heat Capacity [J/kg.K],Thermal Conductivity [W/m.K],Dynamic Viscosity [Pa.s]
273.15,0.9998,4217.6,0.5610,1.750e-3
283.15,0.9997,4192.1,0.5800,1.307e-3
293.15,0.9982,4181.8,0.5984,1.002e-3
303.15,0.9957,4178.4,0.6154,0.798e-3
313.15,0.9922,4180.6,0.6305,0.653e-3
323.15,0.9880,4186.9,0.6435,0.547e-3
333.15,0.9832,4196.9,0.6543,0.467e-3
343.15,0.9778,4210.2,0.6631,0.404e-3
353.15,0.9718,4226.4,0.6700,0.355e-3
363.15,0.9653,4245.2,0.6753,0.315e-3
373.15,0.9584,4266.4,0.6791,0.282e-3
