experiment,n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_r2,setA_4G_mse,setA_4G_mape,setA_3G1P_r2,setA_3G1P_mse,setA_3G1P_mape,setA_3G1B_r2,setA_3G1B_mse,setA_3G1B_mape,setA_2G2P_r2,setA_2G2P_mse,setA_2G2P_mape,setA_2G2B_r2,setA_2G2B_mse,setA_2G2B_mape,setA_2G1P1B_r2,setA_2G1P1B_mse,setA_2G1P1B_mape,setB_4G_r2,setB_4G_mse,setB_4G_mape,setB_3G1P_r2,setB_3G1P_mse,setB_3G1P_mape,setB_3G1B_r2,setB_3G1B_mse,setB_3G1B_mape,setB_2G2P_r2,setB_2G2P_mse,setB_2G2P_mape,setB_2G2B_r2,setB_2G2B_mse,setB_2G2B_mape,setB_2G1P1B_r2,setB_2G1P1B_mse,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_r2,setC_4G_mse,setC_4G_mape,setC_3G1P_r2,setC_3G1P_mse,setC_3G1P_mape,setC_3G1B_r2,setC_3G1B_mse,setC_3G1B_mape,setC_2G2P_r2,setC_2G2P_mse,setC_2G2P_mape,setC_2G2B_r2,setC_2G2B_mse,setC_2G2B_mape,setC_2G1P1B_r2,setC_2G1P1B_mse,setC_2G1P1B_mape,status
selected,13,429,epithermal_only,0.0008185617,0.918401,4.88326826%,0.0008663041,0.914477,5.07280555,0.0004277157,0.899756,3.37677967,0.917402,0.0007076013,4.55813043,0.916884,0.0007908674,4.80937759,0.917034,0.0007875532,4.80047274,0.914050,0.0008988019,5.18055130,0.912906,0.0009010517,5.21272700,0.913727,0.0008973025,5.17044846,0.886138,0.0004378874,3.49691767,0.896175,0.0004277025,3.37158094,0.898813,0.0004216459,3.37224608,0.900822,0.0004248394,3.35425691,0.901193,0.0004266259,3.41947362,0.900690,0.0004308787,3.35992668,0.0007989317,0.921730,4.93353549,0.914265,0.0007652172,4.83479678,0.924915,0.0007336359,4.65562186,0.921971,0.0007429115,4.69668136,0.921837,0.0008221407,4.99374272,0.920875,0.0008316423,5.04019782,0.921401,0.0008142295,5.02994535,done
selected,13,429,fast_only,0.0009948957,0.927754,4.58744895%,0.0010714969,0.924578,4.81262970,0.0002197199,0.950275,2.14392895,0.962675,0.0004253407,3.36623683,0.941344,0.0007773390,4.15093103,0.940291,0.0007822062,4.16418055,0.920158,0.0011740156,5.07635913,0.916974,0.0011992389,5.10579411,0.917320,0.0012046959,5.09143146,0.953571,0.0001792419,1.93571006,0.953254,0.0002020173,2.09650697,0.953171,0.0001978193,2.07285781,0.949558,0.0002271751,2.14185575,0.950245,0.0002166985,2.11046166,0.946903,0.0002340772,2.21854848,0.0012958707,0.906527,5.17297240,0.968526,0.0003870631,3.38815163,0.928297,0.0009621353,4.45120884,0.931252,0.0008791230,4.38709515,0.898081,0.0014571327,5.48950617,0.901252,0.0014031236,5.39210184,0.893583,0.0014877583,5.55691367,done
selected,13,429,keff,0.0000030333,0.233482,0.12518548%,0.0000030367,0.205774,0.12603118,0.0000034507,0.388551,0.13001102,0.285679,0.0000018572,0.09980546,0.183094,0.0000025773,0.11375315,0.161271,0.0000027090,0.11756141,0.148375,0.0000030597,0.12576240,0.044268,0.0000035681,0.13972476,0.150299,0.0000031203,0.12842019,0.398361,0.0000026635,0.13533112,0.505898,0.0000023410,0.11175643,0.462588,0.0000024229,0.11232495,0.381071,0.0000033996,0.12468077,-0.020893,0.0000047521,0.15841358,0.286786,0.0000036037,0.13001176,0.0000030559,0.207881,0.12649177,0.296757,0.0000017853,0.09750810,0.216890,0.0000023155,0.10843347,0.170352,0.0000025763,0.11337042,0.167938,0.0000030358,0.12762364,0.053292,0.0000036992,0.14330720,0.142597,0.0000032571,0.13033462,done
selected,13,429,thermal_only,0.0046248802,0.946070,10.70477183%,0.0048557767,0.944323,11.03286205,0.0022684868,0.960178,6.63235280,0.953872,0.0047791078,11.17295664,0.949136,0.0047600458,10.97391185,0.953312,0.0046498648,10.91208252,0.936366,0.0049435675,10.98184116,0.941203,0.0050163983,11.30387781,0.940884,0.0048385071,10.97109999,0.912543,0.0028873295,7.15397835,0.950421,0.0025361760,6.79594404,0.959729,0.0024101508,6.73628291,0.956230,0.0021706629,6.31320068,0.959402,0.0024235848,7.36436461,0.962904,0.0020518283,6.29328036,0.0052659445,0.937029,12.25622654,0.953335,0.0050212012,11.81613701,0.943776,0.0051911990,12.01411677,0.945692,0.0051960167,12.20884788,0.928796,0.0053531786,12.20501083,0.936119,0.0052407918,12.30131664,0.931138,0.0053035909,12.39258064,done
selected,13,429,total,0.0001665689,0.969715,2.25340148%,0.0001785452,0.967841,2.34673460,0.0000486456,0.980997,1.30926261,0.981635,0.0000845168,1.69935870,0.972274,0.0001465900,2.10609610,0.973117,0.0001354338,2.06519520,0.966402,0.0002001950,2.48757508,0.965897,0.0001862273,2.41467958,0.965609,0.0001967371,2.47034915,0.990108,0.0000230541,0.89747376,0.984024,0.0000395839,1.16365944,0.985257,0.0000361352,1.12999274,0.978193,0.0000573045,1.43354643,0.979035,0.0000536082,1.42604380,0.980371,0.0000511581,1.33133684,0.0001863474,0.967211,2.39701784,0.983015,0.0000819419,1.63369237,0.971677,0.0001547898,2.15144599,0.974281,0.0001315012,2.04874215,0.964467,0.0002163307,2.57886291,0.966103,0.0001918398,2.45883189,0.964522,0.0002061400,2.53695784,done
selected,26,858,epithermal_only,0.0001984777,0.980214,2.23524034%,0.0002146162,0.978846,2.34257758,0.0000487151,0.988276,1.20769167,0.990219,0.0000842649,1.52881688,0.983142,0.0001607821,1.98538353,0.983258,0.0001592902,2.00076571,0.976921,0.0002416627,2.51550863,0.977003,0.0002382471,2.53150801,0.977288,0.0002365267,2.46246219,0.994871,0.0000191675,0.82056021,0.990053,0.0000398808,1.08962247,0.990316,0.0000393065,1.05830918,0.988119,0.0000495320,1.23821188,0.986618,0.0000565291,1.30110603,0.987451,0.0000529429,1.26713589,0.0002588210,0.974674,2.53553022,0.990083,0.0000890864,1.61416089,0.979899,0.0001969111,2.17080677,0.981491,0.0001763297,2.13899659,0.971980,0.0002950957,2.70319683,0.974008,0.0002734885,2.65057929,0.971477,0.0002956750,2.72495892,done
selected,26,858,fast_only,0.0005726954,0.958356,3.36345838%,0.0006106328,0.956989,3.45671966,0.0001427606,0.965917,1.91472068,0.988858,0.0001268005,1.87311050,0.969648,0.0004021765,2.77685590,0.969081,0.0004049644,2.77143205,0.952549,0.0006972488,3.77391347,0.951841,0.0006951428,3.74821382,0.951678,0.0007034308,3.73939356,0.972417,0.0000875322,1.56988501,0.969258,0.0001184204,1.76958728,0.968636,0.0001198707,1.74877696,0.963647,0.0001555163,1.98540982,0.966387,0.0001434636,1.89772129,0.963235,0.0001563771,2.02030448,0.0007607888,0.945016,3.84059637,0.990192,0.0001209766,1.90147384,0.959836,0.0005385687,3.16685341,0.964024,0.0004585886,2.97391727,0.939953,0.0008570226,4.15017776,0.941343,0.0008319045,4.07848638,0.935066,0.0009054144,4.24246153,done
selected,26,858,keff,0.0000021290,0.462010,0.10402727%,0.0000022116,0.421569,0.10673803,0.0000014497,0.743116,0.07920206,0.520499,0.0000012467,0.08053188,0.409826,0.0000018620,0.09507356,0.407793,0.0000019127,0.09718251,0.358573,0.0000023045,0.10965759,0.302350,0.0000026046,0.11836957,0.383109,0.0000022654,0.10871966,0.554075,0.0000019741,0.10948048,0.746213,0.0000012024,0.07398031,0.699914,0.0000013529,0.08131693,0.744842,0.0000014015,0.07576165,0.635806,0.0000016953,0.08702298,0.718554,0.0000014221,0.07552422,0.0000023167,0.399476,0.11012315,0.481431,0.0000013164,0.08368241,0.413730,0.0000017335,0.09445642,0.385003,0.0000019098,0.09827994,0.346608,0.0000023839,0.11437400,0.285651,0.0000027913,0.12329680,0.352544,0.0000024596,0.11279154,done
selected,26,858,thermal_only,0.0021589097,0.974654,7.02813332%,0.0022583535,0.973972,7.20083778,0.0006915342,0.987414,3.95775132,0.988972,0.0010918374,5.02406387,0.980990,0.0017546528,6.24110526,0.981810,0.0017929844,6.31238812,0.968168,0.0024596100,7.63492726,0.969789,0.0025706519,7.84953868,0.970308,0.0024218091,7.45690115,0.984722,0.0004010183,3.43132786,0.986179,0.0006377661,4.07359315,0.989418,0.0005979696,3.86166158,0.983363,0.0007806838,4.17347428,0.985950,0.0008212712,4.36601217,0.987983,0.0006554115,3.68304401,0.0031100715,0.962588,8.78370734,0.983025,0.0017651629,5.97753497,0.972692,0.0024891267,7.68585618,0.972569,0.0025887676,7.82056434,0.958257,0.0031142257,8.82797614,0.957683,0.0034593515,9.44802876,0.955365,0.0034265495,9.35102976,done
selected,26,858,total,0.0001203223,0.978128,1.83800941%,0.0001260544,0.977291,1.88352791,0.0000536806,0.978938,1.21361904,0.985613,0.0000665813,1.39400025,0.980087,0.0001053628,1.69229370,0.981664,0.0000924196,1.61597070,0.974435,0.0001522416,2.08487100,0.976735,0.0001269782,1.93747688,0.976295,0.0001355638,1.94960632,0.991529,0.0000196753,0.66597343,0.982294,0.0000436037,1.02366426,0.981121,0.0000460803,1.06641913,0.978866,0.0000553362,1.27535567,0.976256,0.0000605587,1.34831951,0.977599,0.0000581400,1.27342253,0.0001417420,0.975022,1.99138552,0.985867,0.0000685469,1.45552180,0.977120,0.0001250224,1.83012230,0.981207,0.0000957962,1.70014911,0.970433,0.0001797202,2.23424015,0.976338,0.0001334186,1.97851656,0.973497,0.0001539228,2.07202858,done
