n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_mape,setA_3G1P_mape,setA_3G1B_mape,setA_2G2P_mape,setA_2G2B_mape,setA_2G1P1B_mape,setB_4G_mape,setB_3G1P_mape,setB_3G1B_mape,setB_2G2P_mape,setB_2G2B_mape,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_mape,setC_3G1P_mape,setC_3G1B_mape,setC_2G2P_mape,setC_2G2B_mape,setC_2G1P1B_mape,status
13,429,epithermal_only,0.0008185617,0.918401,4.88326826%,0.0008663041,5.07280555,5.07280555,0.0003820599,3.15035589,3.15035589,4.55813043,4.80937759,4.80047274,5.18055130,5.21272700,5.17044846,3.15524447,3.09125146,3.09990152,3.14017974,3.19383976,3.16981426,0.0008613692,5.18553681,5.18553681,4.95376675,4.79648036,4.84949667,5.26981598,5.34097322,5.32675579,done
13,429,fast_only,0.0009948957,0.927754,4.58744895%,0.0010714969,4.81262970,4.81262970,0.0002945415,2.52865349,2.52865349,3.36623683,4.15093103,4.16418055,5.07635913,5.10579411,5.09143146,2.41330662,2.56064679,2.53729239,2.51007327,2.46026864,2.56820418,0.0014217669,5.40461980,5.40461980,3.87247547,4.66837116,4.71655334,5.56720532,5.74879719,5.75411010,done
13,429,keff,0.0000030333,0.233482,0.12518548%,0.0000030367,0.12603118,0.12603118,0.0000030020,0.11745330,0.11745330,0.09980546,0.11375315,0.11756141,0.12576240,0.13972476,0.12842019,0.12368303,0.10140009,0.10125543,0.11184781,0.14445217,0.11698784,0.0000030622,0.12657007,0.12657007,0.09639142,0.10791091,0.11287538,0.12767436,0.14403695,0.13059228,done
13,429,thermal_only,0.0046248802,0.946070,10.70477183%,0.0048557767,11.03286205,11.03286205,0.0025138270,7.70508976,7.70508976,11.17295664,10.97391185,10.91208252,10.98184116,11.30387781,10.97109999,9.57645278,8.33321284,8.19628416,7.13197930,8.02447773,7.30289827,0.0053273592,12.33915983,12.33915983,11.85983078,12.11768747,12.11174851,12.69093530,12.01899611,12.51305778,done
13,429,total,0.0001665689,0.969715,2.25340148%,0.0001785452,2.34673460,2.34673460,0.0000570718,1.40007011,1.40007011,1.69935870,2.10609610,2.06519520,2.48757508,2.41467958,2.47034915,1.16551262,1.30754074,1.28330134,1.50648782,1.47178291,1.40031737,0.0002589262,2.86285068,2.86285068,1.64066851,2.39561375,2.46210262,2.93042134,3.02351932,3.14024402,done
26,858,epithermal_only,0.0001984777,0.980214,2.23524034%,0.0002146162,2.34257758,2.34257758,0.0000509264,1.25387130,1.25387130,1.52881688,1.98538353,2.00076571,2.51550863,2.53150801,2.46246219,0.85606011,1.12288271,1.11393756,1.27518038,1.34768669,1.31976745,0.0003225657,2.82610804,2.82610804,1.62813787,2.19663205,2.33368012,2.82771733,3.18536090,3.11980526,done
26,858,fast_only,0.0005726954,0.958356,3.36345838%,0.0006106328,3.45671966,3.45671966,0.0002258392,2.51078383,2.51078383,1.87311050,2.77685590,2.77143205,3.77391347,3.74821382,3.73939356,2.27355883,2.41671776,2.39333785,2.57658131,2.44248243,2.60230854,0.0009144864,4.37558103,4.37558103,2.02040891,3.36205215,3.30158070,4.58000901,4.81159687,4.94811426,done
26,858,keff,0.0000021290,0.462010,0.10402727%,0.0000022116,0.10673803,0.10673803,0.0000013731,0.07924314,0.07924314,0.08053188,0.09507356,0.09718251,0.10965759,0.11836957,0.10871966,0.09746402,0.07413279,0.07963412,0.07518761,0.09083498,0.07552970,0.0000023818,0.11150454,0.11150454,0.08321583,0.09525537,0.09840568,0.11594826,0.12590549,0.11423006,done
26,858,thermal_only,0.0021589097,0.974654,7.02813332%,0.0022583535,7.20083778,7.20083778,0.0012497089,5.44912108,5.44912108,5.02406387,6.24110526,6.31238812,7.63492726,7.84953868,7.45690115,7.07780423,5.86846809,5.71573112,5.31535476,5.56752452,5.09242657,0.0031760234,8.94365127,8.94365127,6.25955567,7.70170846,7.89019726,8.89166385,9.88210722,9.48996211,done
26,858,total,0.0001203223,0.978128,1.83800941%,0.0001260544,1.88352791,1.88352791,0.0000679143,1.42184028,1.42184028,1.39400025,1.69229370,1.61597070,2.08487100,1.93747688,1.94960632,1.02705634,1.28732056,1.23693474,1.54065664,1.47900851,1.47322172,0.0001468697,2.07174301,2.07174301,1.47797481,1.92116274,1.78061555,2.23470827,2.03762841,2.20419758,done
