n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_r2,setA_4G_mse,setA_4G_mape,setA_3G1P_r2,setA_3G1P_mse,setA_3G1P_mape,setA_3G1B_r2,setA_3G1B_mse,setA_3G1B_mape,setA_2G2P_r2,setA_2G2P_mse,setA_2G2P_mape,setA_2G2B_r2,setA_2G2B_mse,setA_2G2B_mape,setA_2G1P1B_r2,setA_2G1P1B_mse,setA_2G1P1B_mape,setB_4G_r2,setB_4G_mse,setB_4G_mape,setB_3G1P_r2,setB_3G1P_mse,setB_3G1P_mape,setB_3G1B_r2,setB_3G1B_mse,setB_3G1B_mape,setB_2G2P_r2,setB_2G2P_mse,setB_2G2P_mape,setB_2G2B_r2,setB_2G2B_mse,setB_2G2B_mape,setB_2G1P1B_r2,setB_2G1P1B_mse,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_r2,setC_4G_mse,setC_4G_mape,setC_3G1P_r2,setC_3G1P_mse,setC_3G1P_mape,setC_3G1B_r2,setC_3G1B_mse,setC_3G1B_mape,setC_2G2P_r2,setC_2G2P_mse,setC_2G2P_mape,setC_2G2B_r2,setC_2G2B_mse,setC_2G2B_mape,setC_2G1P1B_r2,setC_2G1P1B_mse,setC_2G1P1B_mape,status
13,429,epithermal_only,0.0008185617,0.918401,4.88326826%,0.0008663041,0.914477,5.07280555,0.0003820599,0.901694,3.15035589,0.917402,0.0007076013,4.55813043,0.916884,0.0007908674,4.80937759,0.917034,0.0007875532,4.80047274,0.914050,0.0008988019,5.18055130,0.912906,0.0009010517,5.21272700,0.913727,0.0008973025,5.17044846,0.892566,0.0003805071,3.15524447,0.900514,0.0003748168,3.09125146,0.903063,0.0003699479,3.09990152,0.902140,0.0003811383,3.14017974,0.902781,0.0003818856,3.19383976,0.901313,0.0003891890,3.16981426,0.0008613692,0.915602,5.18553681,0.909356,0.0008089779,4.95376675,0.921571,0.0007662790,4.79648036,0.919980,0.0007618683,4.84949667,0.915271,0.0008910768,5.26981598,0.912641,0.0009179207,5.34097322,0.914322,0.0008874838,5.32675579,done
13,429,fast_only,0.0009948957,0.927754,4.58744895%,0.0010714969,0.924578,4.81262970,0.0002945415,0.928626,2.52865349,0.962675,0.0004253407,3.36623683,0.941344,0.0007773390,4.15093103,0.940291,0.0007822062,4.16418055,0.920158,0.0011740156,5.07635913,0.916974,0.0011992389,5.10579411,0.917320,0.0012046959,5.09143146,0.928635,0.0002467761,2.41330662,0.927918,0.0002854922,2.56064679,0.928231,0.0002793768,2.53729239,0.928703,0.0002997109,2.51007327,0.929228,0.0002896623,2.46026864,0.925961,0.0003064481,2.56820418,0.0014217669,0.897568,5.40461980,0.958522,0.0005094320,3.87247547,0.920016,0.0010738044,4.66837116,0.917673,0.0010540652,4.71655334,0.895281,0.0014991305,5.56720532,0.889398,0.0015738433,5.74879719,0.884150,0.0016218806,5.75411010,done
13,429,keff,0.0000030333,0.233482,0.12518548%,0.0000030367,0.205774,0.12603118,0.0000030020,0.412825,0.11745330,0.285679,0.0000018572,0.09980546,0.183094,0.0000025773,0.11375315,0.161271,0.0000027090,0.11756141,0.148375,0.0000030597,0.12576240,0.044268,0.0000035681,0.13972476,0.150299,0.0000031203,0.12842019,0.411625,0.0000023608,0.12368303,0.523356,0.0000020401,0.10140009,0.480481,0.0000021040,0.10125543,0.406292,0.0000029422,0.11184781,0.010800,0.0000041596,0.14445217,0.316831,0.0000031265,0.11698784,0.0000030622,0.206236,0.12657007,0.310372,0.0000017507,0.09639142,0.224668,0.0000022925,0.10791091,0.179461,0.0000025481,0.11287538,0.167779,0.0000030364,0.12767436,0.041215,0.0000037464,0.14403695,0.139029,0.0000032707,0.13059228,done
13,429,thermal_only,0.0046248802,0.946070,10.70477183%,0.0048557767,0.944323,11.03286205,0.0025138270,0.951514,7.70508976,0.953872,0.0047791078,11.17295664,0.949136,0.0047600458,10.97391185,0.953312,0.0046498648,10.91208252,0.936366,0.0049435675,10.98184116,0.941203,0.0050163983,11.30387781,0.940884,0.0048385071,10.97109999,0.843963,0.0037726911,9.57645278,0.933457,0.0029409506,8.33321284,0.947104,0.0027987347,8.19628416,0.948630,0.0022976874,7.13197930,0.954400,0.0025086219,8.02447773,0.954579,0.0022822501,7.30289827,0.0053273592,0.936304,12.33915983,0.953064,0.0050531116,11.85983078,0.942920,0.0052656123,12.11768747,0.945517,0.0052139361,12.11174851,0.925778,0.0055727865,12.69093530,0.937474,0.0051324710,12.01899611,0.930145,0.0053834090,12.51305778,done
13,429,total,0.0001665689,0.969715,2.25340148%,0.0001785452,0.967841,2.34673460,0.0000570718,0.975912,1.40007011,0.981635,0.0000845168,1.69935870,0.972274,0.0001465900,2.10609610,0.973117,0.0001354338,2.06519520,0.966402,0.0002001950,2.48757508,0.965897,0.0001862273,2.41467958,0.965609,0.0001967371,2.47034915,0.979064,0.0000456504,1.16551262,0.977339,0.0000522386,1.30754074,0.978358,0.0000492444,1.28330134,0.973400,0.0000646951,1.50648782,0.975251,0.0000583787,1.47178291,0.975997,0.0000577785,1.40031737,0.0002589262,0.954330,2.86285068,0.982998,0.0000821732,1.64066851,0.966104,0.0001848071,2.39561375,0.964809,0.0001796373,2.46210262,0.954540,0.0002761708,2.93042134,0.949640,0.0002843128,3.02351932,0.947630,0.0003035245,3.14024402,done
26,858,epithermal_only,0.0001984777,0.980214,2.23524034%,0.0002146162,0.978846,2.34257758,0.0000509264,0.986558,1.25387130,0.990219,0.0000842649,1.52881688,0.983142,0.0001607821,1.98538353,0.983258,0.0001592902,2.00076571,0.976921,0.0002416627,2.51550863,0.977003,0.0002382471,2.53150801,0.977288,0.0002365267,2.46246219,0.993876,0.0000209274,0.85606011,0.988845,0.0000408776,1.12288271,0.988890,0.0000412314,1.11393756,0.986351,0.0000518461,1.27518038,0.984818,0.0000583769,1.34768669,0.985476,0.0000558224,1.31976745,0.0003225657,0.968435,2.82610804,0.989753,0.0000921251,1.62813787,0.979324,0.0002025442,2.19663205,0.978530,0.0002045366,2.33368012,0.969156,0.0003248941,2.82771733,0.962221,0.0003974678,3.18536090,0.963091,0.0003825675,3.11980526,done
26,858,fast_only,0.0005726954,0.958356,3.36345838%,0.0006106328,0.956989,3.45671966,0.0002258392,0.943561,2.51078383,0.988858,0.0001268005,1.87311050,0.969648,0.0004021765,2.77685590,0.969081,0.0004049644,2.77143205,0.952549,0.0006972488,3.77391347,0.951841,0.0006951428,3.74821382,0.951678,0.0007034308,3.73939356,0.941561,0.0001851284,2.27355883,0.944873,0.0002072724,2.41671776,0.944269,0.0002063595,2.39333785,0.941586,0.0002388655,2.57658131,0.946288,0.0002154917,2.44248243,0.940503,0.0002405744,2.60230854,0.0009144864,0.933866,4.37558103,0.989034,0.0001351526,2.02040891,0.956059,0.0005887901,3.36205215,0.959112,0.0005208522,3.30158070,0.930954,0.0009850101,4.58000901,0.924122,0.0010755409,4.81159687,0.920784,0.0011036329,4.94811426,done
26,858,keff,0.0000021290,0.462010,0.10402727%,0.0000022116,0.421569,0.10673803,0.0000013731,0.731432,0.07924314,0.520499,0.0000012467,0.08053188,0.409826,0.0000018620,0.09507356,0.407793,0.0000019127,0.09718251,0.358573,0.0000023045,0.10965759,0.302350,0.0000026046,0.11836957,0.383109,0.0000022654,0.10871966,0.575090,0.0000017049,0.09746402,0.733694,0.0000011398,0.07413279,0.690790,0.0000012523,0.07963412,0.736021,0.0000013082,0.07518761,0.597220,0.0000016937,0.09083498,0.708159,0.0000013356,0.07552970,0.0000023818,0.382598,0.11150454,0.487875,0.0000013001,0.08321583,0.408570,0.0000017488,0.09525537,0.376960,0.0000019348,0.09840568,0.333523,0.0000024317,0.11594826,0.253611,0.0000029165,0.12590549,0.331338,0.0000025401,0.11423006,done
26,858,thermal_only,0.0021589097,0.974654,7.02813332%,0.0022583535,0.973972,7.20083778,0.0012497089,0.974845,5.44912108,0.988972,0.0010918374,5.02406387,0.980990,0.0017546528,6.24110526,0.981810,0.0017929844,6.31238812,0.968168,0.0024596100,7.63492726,0.969789,0.0025706519,7.84953868,0.970308,0.0024218091,7.45690115,0.883349,0.0022224023,7.07780423,0.966500,0.0013424694,5.86846809,0.972765,0.0013500867,5.71573112,0.972728,0.0011575988,5.31535476,0.976993,0.0012354376,5.56752452,0.976262,0.0011574625,5.09242657,0.0031760234,0.961777,8.94365127,0.982496,0.0018222916,6.25955567,0.972749,0.0024829424,7.70170846,0.972125,0.0026319072,7.89019726,0.958249,0.0031132073,8.89166385,0.955298,0.0036514344,9.88210722,0.954450,0.0034953082,9.48996211,done
26,858,total,0.0001203223,0.978128,1.83800941%,0.0001260544,0.977291,1.88352791,0.0000679143,0.971293,1.42184028,0.985613,0.0000665813,1.39400025,0.980087,0.0001053628,1.69229370,0.981664,0.0000924196,1.61597070,0.974435,0.0001522416,2.08487100,0.976735,0.0001269782,1.93747688,0.976295,0.0001355638,1.94960632,0.979448,0.0000450117,1.02705634,0.973724,0.0000605369,1.28732056,0.975940,0.0000547835,1.23693474,0.968790,0.0000757599,1.54065664,0.971089,0.0000681188,1.47900851,0.969772,0.0000726338,1.47322172,0.0001468697,0.974095,2.07174301,0.984899,0.0000732165,1.47797481,0.975570,0.0001332882,1.92116274,0.979723,0.0001032978,1.78061555,0.971074,0.0001757547,2.23470827,0.975745,0.0001366939,2.03762841,0.971948,0.0001627244,2.20419758,done
